date,cases_new,cases_import,cases_recovered,cases_active,cases_cluster,cases_unvax,cases_pvax,cases_fvax,cases_boost,cases_child,cases_adolescent,cases_adult,cases_elderly,cases_0_4,cases_5_11,cases_12_17,cases_18_29,cases_30_39,cases_40_49,cases_50_59,cases_60_69,cases_70_79,cases_80,cluster_import,cluster_religious,cluster_community,cluster_highRisk,cluster_education,cluster_detentionCentre,cluster_workplace
2021-01-01,2068,2,2230,23382,944.0,2068.0,0.0,0.0,0.0,129.0,78.0,1715.0,115.0,59.0,70.0,78.0,640.0,710.0,238.0,127.0,72.0,36.0,7.0,0.0,0.0,35.0,17.0,0.0,18.0,671.0
2021-01-02,2295,9,3321,22347,1091.0,2295.0,0.0,0.0,0.0,122.0,60.0,1895.0,113.0,40.0,82.0,60.0,717.0,722.0,316.0,140.0,89.0,19.0,5.0,0.0,2.0,30.0,33.0,0.0,135.0,882.0
2021-01-03,1704,5,2726,21317,588.0,1704.0,0.0,0.0,0.0,170.0,71.0,1307.0,114.0,63.0,107.0,71.0,522.0,443.0,202.0,140.0,79.0,26.0,9.0,0.0,0.0,41.0,25.0,0.0,83.0,432.0
2021-01-04,1741,8,1010,22038,618.0,1741.0,0.0,0.0,0.0,178.0,72.0,1346.0,103.0,71.0,107.0,72.0,580.0,406.0,229.0,131.0,71.0,23.0,9.0,0.0,0.0,47.0,7.0,0.0,37.0,518.0
2021-01-05,2027,16,1221,22834,776.0,2027.0,0.0,0.0,0.0,176.0,87.0,1610.0,125.0,76.0,100.0,87.0,627.0,537.0,256.0,190.0,80.0,36.0,9.0,0.0,0.0,30.0,14.0,0.0,111.0,590.0
2021-01-06,2593,4,1129,24281,1603.0,2593.0,0.0,0.0,0.0,137.0,68.0,1968.0,122.0,60.0,77.0,68.0,786.0,730.0,311.0,141.0,78.0,32.0,12.0,0.0,2.0,21.0,12.0,0.0,81.0,1463.0
2021-01-07,3027,6,2145,25157,1532.0,3027.0,0.0,0.0,0.0,207.0,99.0,1594.0,189.0,94.0,113.0,99.0,719.0,477.0,218.0,180.0,132.0,42.0,15.0,0.0,2.0,38.0,8.0,0.0,63.0,1403.0
2021-01-08,2643,2,2708,25080,1162.0,2643.0,0.0,0.0,0.0,168.0,91.0,2200.0,147.0,69.0,99.0,91.0,881.0,750.0,394.0,175.0,100.0,36.0,11.0,0.0,0.0,75.0,10.0,0.0,131.0,935.0
2021-01-09,2451,5,1401,26122,977.0,2451.0,0.0,0.0,0.0,183.0,104.0,2002.0,153.0,78.0,105.0,104.0,851.0,615.0,327.0,209.0,104.0,37.0,12.0,0.0,1.0,91.0,7.0,0.0,327.0,472.0
2021-01-10,2433,7,1277,27266,751.0,2433.0,0.0,0.0,0.0,213.0,95.0,1900.0,204.0,69.0,144.0,95.0,754.0,659.0,320.0,167.0,149.0,40.0,15.0,0.0,7.0,83.0,13.0,0.0,86.0,492.0
2021-01-11,2232,5,1006,28489,788.0,2232.0,0.0,0.0,0.0,223.0,128.0,1657.0,180.0,89.0,134.0,128.0,650.0,517.0,293.0,197.0,132.0,35.0,13.0,0.0,5.0,127.0,12.0,0.0,197.0,348.0
2021-01-12,3309,6,1469,30319,1460.0,3309.0,0.0,0.0,0.0,239.0,121.0,2681.0,183.0,97.0,142.0,121.0,1066.0,886.0,457.0,272.0,139.0,32.0,12.0,0.0,4.0,208.0,16.0,0.0,439.0,769.0
2021-01-13,2985,2,994,32301,1076.0,2985.0,0.0,0.0,0.0,232.0,130.0,2354.0,214.0,90.0,142.0,130.0,865.0,852.0,413.0,224.0,136.0,61.0,17.0,0.0,10.0,151.0,6.0,0.0,296.0,589.0
2021-01-14,3337,7,1710,33915,1365.0,3337.0,0.0,0.0,0.0,260.0,128.0,2620.0,209.0,109.0,151.0,128.0,1084.0,865.0,411.0,260.0,145.0,50.0,14.0,0.0,1.0,260.0,12.0,0.0,153.0,921.0
2021-01-15,3211,5,1939,35173,1300.0,3211.0,0.0,0.0,0.0,243.0,145.0,2471.0,196.0,97.0,146.0,145.0,983.0,832.0,412.0,244.0,130.0,52.0,14.0,0.0,15.0,92.0,20.0,0.0,12.0,1068.0
2021-01-16,4029,8,2148,37039,1425.0,4029.0,0.0,0.0,0.0,334.0,177.0,3209.0,256.0,141.0,193.0,177.0,1292.0,1122.0,442.0,353.0,169.0,72.0,15.0,0.0,4.0,114.0,6.0,0.0,110.0,1168.0
2021-01-17,3339,15,2676,37691,1326.0,3339.0,0.0,0.0,0.0,292.0,163.0,2399.0,213.0,113.0,179.0,163.0,871.0,872.0,420.0,236.0,145.0,52.0,16.0,0.0,4.0,140.0,13.0,0.0,162.0,937.0
2021-01-18,3306,7,2293,38688,1195.0,3306.0,0.0,0.0,0.0,239.0,161.0,2552.0,231.0,98.0,141.0,161.0,996.0,857.0,443.0,256.0,144.0,64.0,23.0,0.0,4.0,135.0,40.0,0.0,107.0,854.0
