#,prefecture,location,total_cases,total_death,total_severe,hospitalize
1,Hokkaido,"(43.46722222, 142.8277778)",61576,1475,0,211
2,Aomori,"(40.78027778, 140.83194440000003)",5912,38,0,11
3,Iwate,"(39.59138889, 141.3625)",3496,53,0,9
4,Miyagi,"(38.44555556, 140.9280556)",16300,118,0,5
5,Akita,"(39.7475, 140.4086111)",1934,27,0,0
6,Yamagata,"(38.44638889, 140.1027778)",3608,56,0,2
7,Fukushima,"(37.37888889, 140.22527780000001)",9532,176,0,26
8,Ibaraki,"(36.30638889, 140.3186111)",24504,220,0,20
9,Tochigi,"(36.68916667, 139.81916669999998)",15688,117,0,140
10,Gunma,"(36.50388889, 138.9852778)",17432,177,1,130
11,Saitama,"(35.99666667, 139.34777780000002)",116175,1059,1,168
12,Chiba,"(35.51277778, 140.2038889)",100779,1028,1,109
13,Tokyo,"(35.702313700000005, 139.5803228)",383495,3175,2,816
14,Kanagawa,"(35.41416667, 139.34027780000002)",169960,1319,2,254
15,Niigata,"(37.51888889, 138.91722219999997)",8264,62,0,78
16,Toyama,"(36.63611111, 137.2680556)",4870,52,0,1
17,Ishikawa,"(36.76583333, 136.7713889)",8059,137,0,67
18,Fukui,"(35.84666667, 136.22722219999997)",3119,38,0,4
19,Yamanashi,"(35.61222222, 138.6116667)",5166,29,0,5
20,Nagano,"(36.13, 138.04388889999998)",8998,97,0,59
21,Gifu,"(35.7775, 137.055)",19303,219,0,15
22,Shizuoka,"(35.01694444, 138.33)",26912,209,0,34
23,Aichi,"(35.03444444, 137.215)",106840,1161,0,128
24,Mie,"(34.51361111, 136.3813889)",14825,163,0,6
25,Shiga,"(35.21527778, 136.13805559999997)",12576,104,0,105
26,Kyoto,"(35.25194444, 135.4458333)",36278,292,15,183
27,Osaka,"(34.62277778, 135.5111111)",204120,3064,19,638
28,Hyogo,"(35.03694444, 134.8286111)",78927,1398,2,115
29,Nara,"(34.31555556, 135.8713889)",15997,149,0,56
30,Wakayama,"(33.90944444, 135.5133333)",5306,62,0,2
31,Tottori,"(35.36055556, 133.8516667)",1669,5,0,0
32,Shimane,"(35.07305556, 132.55944440000002)",1774,5,0,41
33,Okayama,"(34.90083333, 133.8152778)",15568,136,0,2
34,Hiroshima,"(34.60361111, 132.7875)",22339,202,1,159
35,Yamaguchi,"(34.19861111, 131.575)",6020,93,0,210
36,Tokushima,"(33.91805556, 134.2430556)",3292,66,0,3
37,Kagawa,"(34.24305556, 133.99666670000002)",4712,38,0,7
38,Ehime,"(33.62194444, 132.8558333)",5415,82,0,3
39,Kōchi,"(33.42111111, 133.36666670000002)",4172,33,0,5
40,Fukuoka,"(33.5225, 130.66805559999997)",74842,627,3,94
41,Saga,"(33.28527778, 130.11694440000002)",5881,30,0,13
42,Nagasaki,"(33.2275, 129.61416670000003)",6133,73,0,14
43,Kumamoto,"(32.615, 130.7563889)",14398,136,0,1
44,Oita,"(33.19916667, 131.43416670000002)",8189,84,0,2
45,Miyazaki,"(32.19083333, 131.3005556)",6153,41,0,0
46,Kagoshima,"(31.01277778, 130.4241667)",9133,66,0,8
47,Okinawa,"(25.77111111, 126.64)",51120,398,13,669
